MethodKey,MethodName,Time_s,PSNR_dB,SSIM
mean_rgb,Mean RGB (baseline),0.709719208333333,17.1490073973497,0.239477400038856
luminance,Luminance + std Y,0.623496833333333,19.1646842944524,0.271855081116678
texture,Texture (Sobel),1.240074,20.0444932400555,0.259638586037095
histogram_l2,Histogram L2,1.36828366666667,17.3862359638457,0.253049311572872
histogram_chi2,Histogram \chi^2,2.23434733333333,18.2906894560689,0.269892853662037
histogram_intersection,Histogram Intersection,0.95405925,18.9215474433443,0.282171289449068
histogram_bhattacharyya,Histogram Bhattacharyya,1.408125,18.5450945973632,0.266406037155594
combined,Combined (color+lum+tex),1.014319375,18.875201018596,0.199876254973056
